Percentage of Rank,Rank,Compression Ratio,MSE,PSNR,Time Taken (s)
0.01,5,0.18874548270521424,0.01230755367257523,19.09828261616354,0.5473089218139648
0.05,25,0.2990900877645844,0.007991413299561973,20.973764079296977,2.326943874359131
0.1,51,0.3459279814145586,0.005581681278579837,22.532349659315724,7.7865309715271
0.2,102,0.3841765616933402,0.003151745325567982,25.01448882606661,33.6415331363678
0.3,153,0.3978510583376355,0.0018609942136471483,27.302549772104584,102.01904487609863
0.5,256,0.4382098606091895,0.0006774680196627971,31.691112011351635,263.16377997398376
0.7,358,0.46477800722767165,0.00024087261820020825,36.18212566711668,448.43256402015686
0.85,435,0.4711667527103769,0.0001046823111076023,39.80126697856773,507.29942989349365
0.9,460,0.4733415074858028,7.436428141330143e-05,41.2863561431912,759.3810560703278
1.0,512,0.4753742901393908,3.451936858422734e-05,44.61937156841353,2334.555046081543
