Solver,Rank,MSE,PSNR,Time Taken (s)
mu,5,0.015162159962928343,18.1923892580417,0.059514760971069336
cd,5,0.014385748569444452,18.42067534460444,0.2560441493988037
mu,25,0.018397177599003185,17.352487991208015,0.1891791820526123
cd,25,0.01857501232836119,17.310708893231094,1.3286468982696533
mu,51,0.02222283040106165,16.532006281458575,0.5313947200775146
cd,51,0.02279059388955841,16.422443575928803,4.435855865478516
mu,102,0.027021172566523054,15.682958089734473,1.1022891998291016
cd,102,0.02777740423600842,15.563083409832064,15.111246824264526
mu,153,0.02994841846893694,15.23626107109364,2.476267099380493
cd,153,0.031232304750954672,15.053959663401104,38.71400189399719
mu,256,0.034869671964289105,14.57552138221076,4.609100103378296
cd,256,0.0368138241698,14.339890662920627,127.61477470397949
mu,358,0.03903494454261161,14.085464333059507,8.746142864227295
cd,358,0.05093207809277286,12.93008603701846,309.6302480697632
mu,435,0.042204552829717176,13.746406968542,14.93106198310852
cd,435,0.06354189304983617,11.969398507482321,617.7217268943787
mu,460,0.043032959653851614,13.661987836610233,51.11296629905701
cd,460,0.06709780911370895,11.732916602387665,739.5854980945587
mu,512,0.04527498168247501,13.441417167223884,77.64658212661743
cd,512,0.07464982269732161,11.269712194415185,337.8308892250061
